NAME                                VERSION                       TYPE                     
just-diff                           6.0.2                         npm                      
just-diff-apply                     5.5.0                         npm                      
jwa                                 2.0.1                         npm                      
jws                                 4.0.1                         npm                      
leaderboard-service                 1.0.0                         npm                      
libacl1                             2.2.53-10                     deb                      
libapt-pkg6.0                       2.2.4                         deb                      
libattr1                            1:2.4.48-6                    deb                      
libaudit-common                     1:3.0-2                       deb                      
libaudit1                           1:3.0-2                       deb                      
libblkid1                           2.36.1-8+deb11u2              deb                      
libbz2-1.0                          1.0.8-4                       deb                      
libc-bin                            2.31-13+deb11u12              deb                      
libc6                               2.31-13+deb11u12              deb                      
libcap-ng0                          0.7.9-2.2+b1                  deb                      
libcom-err2                         1.46.2-2+deb11u1              deb                      
libcrypt1                           1:4.4.18-4                    deb                      
libdb5.3                            5.3.28+dfsg1-0.8              deb                      
libdebconfclient0                   0.260                         deb                      
libext2fs2                          1.46.2-2+deb11u1              deb                      
libffi7                             3.3-6                         deb                      
libgcc-s1                           10.2.1-6                      deb                      
libgcrypt20                         1.8.7-6                       deb                      
libgmp10                            2:6.2.1+dfsg-1+deb11u1        deb                      
libgnutls30                         3.7.1-5+deb11u7               deb                      
libgpg-error0                       1.38-2                        deb                      
libgssapi-krb5-2                    1.18.3-6+deb11u6              deb                      
libhogweed6                         3.7.3-1                       deb                      
libidn2-0                           2.3.0-5                       deb                      
libk5crypto3                        1.18.3-6+deb11u6              deb                      
libkeyutils1                        1.6.1-2                       deb                      
libkrb5-3                           1.18.3-6+deb11u6              deb                      
libkrb5support0                     1.18.3-6+deb11u6              deb                      
liblz4-1                            1.9.3-2                       deb                      
liblzma5                            5.2.5-2.1~deb11u1             deb                      
libmount1                           2.36.1-8+deb11u2              deb                      
libnettle8                          3.7.3-1                       deb                      
libnpmaccess                        8.0.6                         npm                      
libnpmdiff                          6.1.4                         npm                      
libnpmexec                          8.1.3                         npm                      
libnpmfund                          5.0.12                        npm                      
libnpmhook                          10.0.5                        npm                      
libnpmorg                           6.0.6                         npm                      
libnpmpack                          7.0.4                         npm                      
libnpmpublish                       9.0.9                         npm                      
libnpmsearch                        7.0.6                         npm                      
libnpmteam                          6.0.5                         npm                      
libnpmversion                       6.0.3                         npm                      
libnsl2                             1.3.0-2                       deb                      
libp11-kit0                         0.23.22-1                     deb                      
libpam-modules                      1.4.0-9+deb11u1               deb                      
libpam-modules-bin                  1.4.0-9+deb11u1               deb                      
libpam-runtime                      1.4.0-9+deb11u1               deb                      
libpam0g                            1.4.0-9+deb11u1               deb                      
libpcre2-8-0                        10.36-2+deb11u1               deb                      
libpcre3                            2:8.39-13                     deb                      
libseccomp2                         2.5.1-1+deb11u1               deb                      
libselinux1                         3.1-3                         deb                      
libsemanage-common                  3.1-1                         deb                      
libsemanage1                        3.1-1+b2                      deb                      
libsepol1                           3.1-1+deb11u1                 deb                      
libsmartcols1                       2.36.1-8+deb11u2              deb                      
libss2                              1.46.2-2+deb11u1              deb                      
libssl1.1                           1.1.1w-0+deb11u2              deb                      
libstdc++6                          10.2.1-6                      deb                      
libsystemd0                         247.3-7+deb11u6               deb                      
libtasn1-6                          4.16.0-2+deb11u2              deb                      
libtinfo6                           6.2+20201114-2+deb11u2        deb                      
libtirpc-common                     1.3.1-1+deb11u1               deb                      
libtirpc3                           1.3.1-1+deb11u1               deb                      
libudev1                            247.3-7+deb11u6               deb                      
libunistring2                       0.9.10-4                      deb                      
libuuid1                            2.36.1-8+deb11u2              deb                      
libxxhash0                          0.8.0-2                       deb                      
libzstd1                            1.4.8+dfsg-2.1                deb                      
lodash.includes                     4.3.0                         npm                      
lodash.isboolean                    3.0.3                         npm                      
lodash.isinteger                    4.0.4                         npm                      
lodash.isnumber                     3.0.3                         npm                      
lodash.isplainobject                4.0.6                         npm                      
lodash.isstring                     4.0.1                         npm                      
lodash.once                         4.1.1                         npm                      
login                               1:4.8.1-1+deb11u1             deb                      
logsave                             1.46.2-2+deb11u1              deb                      
long                                5.3.2                         npm                      
lru-cache                           10.2.2                        npm                      
lru.min                             1.1.4                         npm                      
lsb-base                            11.1.0                        deb                      
make-fetch-happen                   13.0.1                        npm                      
math-intrinsics                     1.1.0                         npm                      
mawk                                1.3.4.20200120-2              deb                      
media-typer                         0.3.0                         npm                      
merge-descriptors                   1.0.3                         npm                      
methods                             1.1.2                         npm                      
mime                                1.6.0                         npm                      
mime-db                             1.52.0                        npm                      
mime-types                          2.1.35                        npm                      
